Rfrg_Prvdr_Geo_Lvl,Rfrg_Prvdr_Geo_Cd,Rfrg_Prvdr_Geo_Desc,BETOS_Lvl,BETOS_Cd,BETOS_Desc,HCPCS_Cd,HCPCS_Desc,Suplr_Rentl_Ind,Tot_Rfrg_Prvdrs,Tot_Suplrs,Tot_Suplr_Benes,Tot_Suplr_Clms,Tot_Suplr_Srvcs,Avg_Suplr_Sbmtd_Chrg,Avg_Suplr_Mdcr_Alowd_Amt,Avg_Suplr_Mdcr_Pymt_Amt,Avg_Suplr_Mdcr_Stdzd_Amt
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4034,"Enteral feeding supply kit; syringe fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",N,28183,1745,33451,171371,4627387,58.26651953,3.718512037,2.918065775,3.04703918
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4035,"Enteral feeding supply kit; pump fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",N,27342,1758,39110,271836,7050743,75.49504154,6.433860419,5.067509048,5.552222491
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4036,"Enteral feeding supply kit; gravity fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",N,6166,933,7171,41181,1116382,75.17263873,5.036932654,3.959288864,4.100195238
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4081,Nasogastric tubing with stylet,N,14,12,13,20,33,113.7360606,17.29272727,13.83393939,13.57969697
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4082,Nasogastric tubing without stylet,N,16,16,16,21,43,99.11093023,12.53209302,9.502325581,9.463488372
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4083,Stomach tube - levine type,N,4,2,,13,19,13.65473684,1.96,1.567894737,1.498947368
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4087,"Gastrostomy/jejunostomy tube, standard, any material, any type, each",N,3053,708,4173,9077,9414,116.4967612,29.61025919,23.08463777,22.51825579
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4088,"Gastrostomy/jejunostomy tube, low-profile, any material, any type, each",N,4589,958,5242,11003,11317,485.2898038,33.46353892,25.89253071,24.79469559
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4105,"In-line cartridge containing digestive enzyme(s) for enteral feeding, each",N,61,30,64,212,11250,370.0209067,43.87053156,34.76512356,34.47974667
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4149,"Enteral formula, manufactured blenderized natural foods with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",N,1322,455,1221,8054,3428364,6.733054824,1.145321465,0.904473367,0.920307639
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4150,"Enteral formula, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",N,17523,1618,20211,135084,53502609,2.010543478,0.43425928,0.336921971,0.357743289
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4152,"Enteral formula, nutritionally complete, calorically dense (equal to or greater than 1.5 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",N,32631,1909,42222,255939,122658894,1.575459909,0.362842076,0.282859132,0.297564437
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4153,"Enteral formula, nutritionally complete, hydrolyzed proteins (amino acids and peptide chain), includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",N,5333,894,5436,32700,13857110,7.895273152,1.360755552,1.077460209,1.115744131
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4154,"Enteral formula, nutritionally complete, for special metabolic needs, excludes inherited disease of metabolism, includes altered composition of proteins, fats, carbohydrates, vitamins and/or minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",N,11217,1236,14024,85632,36387193,2.79657947,0.756489916,0.597543766,0.641425192
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4155,"Enteral formula, nutritionally incomplete/modular nutrients, includes specific nutrients, carbohydrates (e.g., glucose polymers), proteins/amino acids (e.g., glutamine, arginine), fat (e.g., medium chain triglycerides) or combination, administered through an enteral feeding tube, 100 calories = 1 unit",N,4466,693,5207,26133,1237069,5.362731764,0.741520142,0.585897294,0.610108054
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4157,"Enteral formula, nutritionally complete, for special metabolic needs for inherited disease of metabolism, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",N,19,12,14,95,17637,13.06705902,5.94178942,4.749793616,4.655985145
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4158,"Enteral formula, for pediatrics, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber and/or iron, administered through an enteral feeding tube, 100 calories = 1 unit",N,13,8,,56,14520,3.75946832,1.154592975,0.923677686,0.908648072
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4159,"Enteral formula, for pediatrics, nutritionally complete soy based with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber and/or iron, administered through an enteral feeding tube, 100 calories = 1 unit",N,8,7,,49,18247,6.534453883,0.979881624,0.770095358,0.75469447
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4160,"Enteral formula, for pediatrics, nutritionally complete calorically dense (equal to or greater than 0.7 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",N,172,115,156,1087,397706,3.292605794,1.053477996,0.826150951,0.810118656
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4161,"Enteral formula, for pediatrics, hydrolyzed/amino acids and peptide chain proteins, includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",N,229,146,192,1338,502089,9.805952092,3.034979436,2.394845436,2.347614088
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4162,"Enteral formula, for pediatrics, special metabolic needs for inherited disease of metabolism, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",N,7,7,,60,8812,31.61690876,12.29628121,9.829038811,9.640241716
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4168,"Parenteral nutrition solution; amino acid, 3.5%, (500 ml = 1 unit) - home mix",N,12,6,11,27,252,80.9390873,29.95428571,23.9634127,23.48412698
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4178,"Parenteral nutrition solution: amino acid, greater than 8.5% (500 ml = 1 unit) - home mix",N,8,5,,115,1538,73.49749675,48.87940182,39.02780884,42.73990897
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4180,"Parenteral nutrition solution; carbohydrates (dextrose), greater than 50% (500 ml = 1 unit) - home mix",N,7,4,,117,724,29.14220995,17.4578453,13.96649171,18.20151934
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4185,"Parenteral nutrition solution, not otherwise specified, 10 grams lipids",N,5181,536,5331,99787,2215115,31.914135,13.14856056,10.46827439,10.54198806
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4187,"Omegaven, 10 grams lipids",N,18,12,12,351,7272,496.6368496,13.01514026,10.41209021,10.64279566
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4189,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 10 to 51 grams of protein - premix",N,758,309,766,10270,60245,423.3022191,213.2854878,170.3200194,167.8717158
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4193,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 52 to 73 grams of protein - premix",N,1805,406,1833,30190,186399,494.1641699,276.458479,220.6434244,217.1131607
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4197,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, 74 to 100 grams of protein - premix",N,3407,506,3535,56146,346175,543.7233495,336.7574613,268.8062335,264.3777348
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4199,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, over 100 grams of protein - premix",N,1457,382,1442,18935,115055,595.0101757,384.2441011,306.9960347,302.3516702
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4216,"Parenteral nutrition; additives (vitamins, trace elements, heparin, electrolytes), home mix, per day",N,10,7,,98,696,18.01761494,9.329195402,7.463491379,7.314813218
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4220,"Parenteral nutrition supply kit; premix, per day",N,5475,536,5725,111065,683355,81.04908184,9.673895311,7.731462724,7.585447359
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4222,"Parenteral nutrition supply kit; home mix, per day",N,27,11,28,657,4253,23.9303574,11.92193746,9.521417823,9.355191629
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B4224,"Parenteral nutrition administration kit, per day",N,5527,543,5777,113654,700624,186.8349406,30.18809486,24.11266585,23.66420014
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B9002,"Enteral nutrition infusion pump, any type",N,859,227,1092,1415,1415,322.4829965,127.0516749,99.86859364,103.3113428
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B9002,"Enteral nutrition infusion pump, any type",Y,15485,1232,20946,88658,90197,371.6837416,72.92027074,57.32308358,60.92221948
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B9004,"Parenteral nutrition infusion pump, portable",N,11,4,13,17,17,1575.009412,1232.673529,986.1394118,966.4182353
